"FiberNumber=""PS-212983-1"""								
"OperatorName=""Иванов Иван Иванович"""								
DateTimeMeasurement=2021-12-13 16-28-51-2023				
X_MM;Fi;Diameter;UpPointY_PX;DownPointY_PX
0;1,000;155,501;763;808
1;1,000;155,560;763;808
2;1,000;155,334;763;808
3;1,000;154,820;763;808
4;1,000;154,534;763;808
5;1,000;153,292;764;808
6;1,000;152,958;764;808
0;2,000;155,525;764;809
1;2,000;155,513;764;809
2;2,000;155,334;764;809
3;2,000;155,286;764;809
4;2,000;155,286;764;809
5;2,000;154,940;765;809
6;2,000;153,292;765;810
0;3,000;155,286;787;832
1;3,000;155,250;787;832
2;3,000;155,250;787;832
3;3,000;154,343;786;831
4;3,000;154,916;786;831
5;3,000;155,250;786;831
6;3,000;155,381;786;831
0;5,000;155,310;787;832
1;5,000;155,250;787;832
2;5,000;155,250;787;832
3;5,000;155,262;787;832
4;5,000;155,250;787;832
5;5,000;155,143;787;831
6;5,000;152,504;787;831
0;6,000;155,274;788;833
1;6,000;155,250;788;833
2;6,000;155,250;788;833
3;6,000;154,235;788;832
4;6,000;154,331;787;832
5;6,000;155,250;787;832
6;6,000;155,369;787;832
0;7,000;152,731;789;833
1;7,000;154,916;788;833
2;7,000;155,250;788;833
3;7,000;155,286;788;833
4;7,000;155,250;788;833
5;7,000;155,250;788;833
6;7,000;155,346;788;833
0;8,000;155,286;788;833
1;8,000;155,250;788;833
2;8,000;155,250;788;833
3;8,000;155,250;788;833
4;8,000;155,250;788;833
5;8,000;153,591;788;832
6;8,000;152,075;788;832
0;9,000;154,772;789;833
1;9,000;152,540;788;833
2;9,000;154,987;788;833
3;9,000;155,298;788;833
4;9,000;155,250;788;833
5;9,000;155,250;788;833
6;9,000;155,346;788;833
0;10,000;155,154;789;833
1;10,000;152,803;789;833
2;10,000;154,402;788;833
3;10,000;155,298;788;833
4;10,000;155,250;788;833
5;10,000;155,250;788;833
6;10,000;155,322;788;833
0;12,000;153,089;790;834
1;12,000;154,152;789;834
2;12,000;155,238;789;834
3;12,000;155,286;789;834
4;12,000;155,250;789;834
5;12,000;155,250;789;834
6;12,000;155,334;789;834
0;13,000;155,178;790;835
1;13,000;153,042;790;834
2;13,000;153,937;789;834
3;13,000;155,298;789;834
4;13,000;155,250;789;834
5;13,000;155,250;789;834
6;13,000;155,310;789;834
0;14,000;152,373;790;834
1;14,000;154,892;789;834
2;14,000;155,238;789;834
3;14,000;155,274;789;834
4;14,000;155,250;789;834
5;14,000;155,250;789;834
6;14,000;155,334;789;834
0;15,000;152,612;765;809
1;15,000;154,808;765;810
2;15,000;155,441;765;810
3;15,000;155,310;765;810
4;15,000;155,393;765;810
5;15,000;155,608;765;810
6;15,000;155,560;765;810
0;16,000;155,250;790;835
1;16,000;155,250;790;835
2;16,000;155,250;790;835
3;16,000;155,250;790;835
4;16,000;154,080;790;834
5;16,000;152,409;790;834
6;16,000;154,665;789;834
0;17,000;155,250;790;835
1;18,000;155,250;790;835
2;18,000;155,250;790;835
3;18,000;155,250;790;835
4;18,000;155,035;790;835
5;18,000;152,313;790;834
6;18,000;153,352;789;834
0;19,000;152,373;790;835
1;19,000;155,071;790;835
2;19,000;155,202;790;835
3;19,000;155,250;790;835
4;19,000;155,250;790;835
5;19,000;155,250;790;835
6;19,000;155,322;790;835
0;20,000;155,250;790;835
1;20,000;155,250;790;835
2;20,000;155,250;790;835
3;20,000;155,250;790;835
4;20,000;155,238;790;835
5;20,000;152,791;790;834
6;20,000;152,480;790;834
0;21,000;152,230;791;835
1;21,000;154,629;790;835
2;21,000;155,166;790;835
3;21,000;155,250;790;835
4;21,000;155,250;790;835
5;21,000;155,250;790;835
6;21,000;155,310;790;835
0;22,000;155,250;791;836
1;22,000;155,262;791;836
2;22,000;155,250;791;836
3;22,000;155,250;791;836
4;22,000;152,779;791;835
5;22,000;153,209;790;835
6;22,000;155,107;790;835
0;23,000;155,190;791;836
1;23,000;155,250;791;836
2;23,000;155,250;791;836
3;23,000;155,250;791;836
4;23,000;155,250;791;836
5;24,000;154,987;791;835
6;24,000;152,098;791;835
0;25,000;155,250;791;836
1;25,000;155,250;791;836
2;25,000;155,250;791;836
3;25,000;155,250;791;836
4;25,000;155,250;791;836
5;25,000;154,188;791;835
6;25,000;152,051;791;835
0;26,000;154,355;791;836
1;26,000;155,166;791;836
2;26,000;155,250;791;836
3;26,000;155,250;791;836
4;26,000;155,250;791;836
5;26,000;155,250;791;836
6;26,000;153,256;791;835
0;27,000;151,896;792;836
1;27,000;153,328;791;836
2;27,000;155,107;791;836
3;27,000;155,250;791;836
4;27,000;155,250;791;836
5;27,000;155,250;791;836
6;27,000;155,238;791;836
0;28,000;154,629;766;811
1;28,000;155,632;766;811
2;28,000;155,381;766;811
3;28,000;155,310;766;811
4;28,000;155,357;766;811
5;28,000;155,596;766;811
6;28,000;155,656;766;811
0;29,000;155,250;792;837
1;29,000;153,913;792;836
2;29,000;152,254;792;836
3;29,000;154,152;791;836
4;29,000;155,238;791;836
5;29,000;155,250;791;836
6;29,000;155,310;791;836
0;31,000;155,250;792;837
1;31,000;155,310;792;837
2;31,000;154,152;792;836
3;31,000;151,896;792;836
4;31,000;154,522;791;836
5;31,000;155,250;791;836
6;31,000;155,310;791;836
0;32,000;152,982;792;836
1;32,000;153,364;791;836
2;32,000;155,250;791;836
3;32,000;155,214;791;836
4;32,000;155,250;791;836
5;32,000;155,250;791;836
6;32,000;155,357;791;836
0;33,000;155,250;792;837
1;33,000;154,116;791;836
2;33,000;153,734;791;836
3;33,000;154,952;791;836
4;33,000;155,250;791;836
5;33,000;155,250;791;836
6;33,000;155,322;791;836
0;34,000;155,250;792;837
1;34,000;155,274;792;837
2;34,000;155,357;792;837
3;34,000;154,904;792;836
4;34,000;151,979;792;836
5;34,000;154,498;791;836
6;34,000;155,286;791;836
0;35,000;155,250;792;837
1;35,000;155,262;792;837
2;35,000;155,298;792;837
3;35,000;155,250;792;837
4;35,000;154,725;792;836
5;35,000;151,979;791;836
6;35,000;154,749;791;836
0;36,000;155,131;792;837
1;37,000;155,262;792;837
2;37,000;155,274;792;837
3;37,000;155,250;792;837
4;37,000;155,250;792;837
5;37,000;153,937;792;836
6;37,000;152,289;792;836
0;38,000;155,226;792;837
1;38,000;155,262;792;837
2;38,000;155,310;792;837
3;38,000;155,250;792;837
4;38,000;155,250;792;837
5;38,000;153,400;792;836
6;38,000;152,242;792;836
0;39,000;155,250;793;838
1;39,000;154,044;792;837
2;39,000;154,128;792;837
3;39,000;155,250;792;837
4;39,000;155,250;792;837
5;39,000;155,250;792;837
6;39,000;155,334;792;837
0;40,000;155,250;793;838
1;40,000;155,393;793;838
2;40,000;155,620;793;838
3;40,000;153,113;793;837
4;40,000;153,424;792;837
5;40,000;155,250;792;837
6;40,000;155,322;792;837
0;41,000;155,537;766;811
1;41,000;155,298;766;811
2;41,000;155,298;766;811
3;41,000;155,238;766;811
4;41,000;154,367;766;811
5;41,000;153,328;767;811
6;41,000;152,791;767;812
0;42,000;155,250;793;838
1;42,000;153,758;792;837
2;42,000;153,221;793;837
3;42,000;155,250;792;837
4;42,000;155,250;792;837
5;42,000;155,262;792;837
6;42,000;155,381;792;837
0;44,000;155,250;793;838
1;44,000;153,877;792;837
2;44,000;153,077;793;837
3;44,000;155,250;792;837
4;44,000;155,250;792;837
5;44,000;155,274;792;837
6;44,000;155,393;792;837
0;45,000;153,925;793;837
1;45,000;152,648;792;837
2;45,000;154,892;792;837
3;45,000;155,250;792;837
4;45,000;155,250;792;837
5;45,000;155,274;792;837
6;45,000;155,405;792;837
0;46,000;155,250;793;838
1;46,000;155,477;793;838
2;46,000;155,620;793;838
3;46,000;154,677;793;837
4;46,000;152,075;792;837
5;46,000;154,032;792;837
6;46,000;155,334;792;837
0;47,000;155,250;793;838
1;47,000;155,656;793;838
2;47,000;153,722;793;837
3;47,000;153,089;792;837
4;47,000;155,250;792;837
5;47,000;155,274;792;837
6;47,000;155,369;792;837
0;48,000;155,250;793;838
1;48,000;155,572;793;838
2;48,000;155,656;793;838
3;48,000;153,507;793;837
4;48,000;152,469;792;837
5;48,000;155,059;792;837
6;48,000;155,274;792;837
0;50,000;155,250;793;838
1;50,000;155,489;793;838
2;50,000;155,513;793;838
3;50,000;155,346;793;838
4;50,000;153,435;793;837
5;50,000;152,087;793;837
6;50,000;154,534;792;837
0;51,000;155,214;793;838
1;51,000;155,405;793;838
2;51,000;155,441;793;838
3;51,000;155,346;793;838
4;51,000;155,202;793;838
5;51,000;152,373;793;837
6;51,000;152,791;792;837
0;52,000;155,250;793;838
1;52,000;155,620;793;838
2;52,000;155,417;793;838
3;52,000;152,230;793;837
4;52,000;153,352;792;837
5;52,000;155,274;792;837
6;52,000;155,357;792;837
0;53,000;155,250;793;838
1;53,000;155,596;793;838
2;53,000;155,584;793;838
3;53,000;153,615;793;837
4;53,000;152,194;792;837
5;53,000;154,725;792;837
6;53,000;155,346;792;837
0;54,000;152,266;767;811
1;54,000;152,970;767;811
2;54,000;152,230;767;811
3;54,000;152,349;767;811
4;54,000;152,122;767;811
5;54,000;152,827;767;811
6;54,000;152,958;767;812
0;55,000;155,250;793;838
1;55,000;155,596;793;838
2;55,000;155,525;793;838
3;55,000;154,164;793;837
4;55,000;152,051;793;837
5;55,000;154,020;792;837
6;55,000;155,346;792;837
0;57,000;155,262;793;838
1;57,000;155,596;793;838
2;57,000;155,477;793;838
3;57,000;154,761;793;838
4;57,000;151,931;793;837
5;57,000;153,125;792;837
6;57,000;155,298;792;837
0;58,000;155,250;793;838
1;58,000;155,656;793;838
2;58,000;155,035;793;837
3;58,000;152,003;793;837
4;58,000;153,686;792;837
5;58,000;155,298;792;837
6;58,000;155,346;792;837
0;59,000;155,262;793;838
1;59,000;155,704;793;838
2;59,000;153,221;793;837
3;59,000;152,063;793;837
4;59,000;154,916;792;837
5;59,000;155,322;792;837
6;59,000;155,346;792;837
0;60,000;153,459;793;837
1;60,000;152,552;792;837
2;60,000;154,772;792;837
3;60,000;155,322;792;837
4;60,000;155,250;792;837
5;60,000;155,346;792;837
6;60,000;154,462;792;836
0;61,000;155,226;793;838
1;61,000;153,006;793;837
2;61,000;152,564;792;837
3;61,000;155,238;792;837
4;61,000;155,250;792;837
5;61,000;155,334;792;837
6;61,000;155,322;792;837
0;63,000;154,462;793;837
1;63,000;152,409;793;837
2;63,000;153,292;792;837
3;63,000;155,310;792;837
4;63,000;155,250;792;837
5;63,000;155,334;792;837
6;63,000;155,119;792;836
0;64,000;152,325;793;837
1;64,000;153,053;792;837
2;64,000;155,286;792;837
3;64,000;155,346;792;837
4;64,000;155,250;792;837
5;64,000;155,346;792;837
6;64,000;153,018;792;836
0;65,000;153,973;792;837
1;65,000;155,513;792;837
2;65,000;155,453;792;837
3;65,000;155,346;792;837
4;65,000;155,131;792;837
5;65,000;152,254;792;836
6;65,000;152,206;791;836
0;66,000;152,803;792;837
1;66,000;155,477;792;837
2;66,000;155,405;792;837
3;66,000;155,346;792;837
4;66,000;155,238;792;837
5;66,000;152,719;792;836
6;66,000;152,146;791;836
0;67,000;153,435;763;808
1;67,000;155,644;763;808
2;67,000;155,501;763;808
3;67,000;155,334;763;808
4;67,000;155,286;763;808
5;67,000;155,525;763;808
6;67,000;154,737;764;808
0;69,000;155,477;768;813
1;69,000;155,369;768;813
2;69,000;155,274;768;813
3;69,000;155,250;768;813
4;69,000;155,274;768;813
5;69,000;155,548;768;813
6;69,000;155,405;768;813
0;70,000;155,274;792;837
1;70,000;155,680;792;837
2;70,000;154,534;792;836
3;70,000;151,991;792;836
4;70,000;152,457;791;836
5;70,000;155,346;791;836
6;70,000;155,286;791;836
0;71,000;155,298;792;837
1;71,000;155,644;792;837
2;71,000;155,262;792;837
3;71,000;152,325;792;836
4;71,000;151,907;792;836
5;71,000;154,701;791;836
6;71,000;155,298;791;836
0;72,000;152,862;792;836
1;72,000;152,469;792;836
2;72,000;154,522;791;836
3;72,000;155,346;791;836
4;72,000;155,250;791;836
5;72,000;155,357;791;836
6;72,000;153,244;791;835
0;73,000;152,098;792;836
1;73,000;153,352;791;836
2;73,000;155,310;791;836
3;73,000;155,334;791;836
4;73,000;155,250;791;836
5;73,000;155,071;791;835
6;73,000;152,122;791;835
0;75,000;155,322;791;836
1;75,000;155,608;791;836
2;75,000;155,274;791;836
3;75,000;153,817;791;835
4;75,000;151,800;791;835
5;75,000;153,256;790;835
6;75,000;155,334;790;835
0;76,000;155,298;791;836
1;76,000;155,632;791;836
2;76,000;152,970;791;835
3;76,000;151,979;791;835
4;76,000;153,065;790;835
5;76,000;155,322;790;835
6;76,000;155,310;790;835
0;77,000;154,713;791;835
1;77,000;152,409;791;835
2;77,000;152,134;791;835
3;77,000;154,975;790;835
4;77,000;155,250;790;835
5;77,000;155,357;790;835
6;77,000;155,178;790;835
0;78,000;154,820;791;835
1;78,000;152,433;791;835
2;78,000;152,015;790;835
3;78,000;154,737;790;835
4;78,000;155,250;790;835
5;78,000;155,357;790;835
6;78,000;155,202;790;834
0;79,000;152,731;790;835
1;79,000;155,190;790;835
2;79,000;155,298;790;835
3;79,000;155,286;790;835
4;79,000;155,238;790;835
5;79,000;153,042;790;834
6;79,000;152,039;790;834
0;81,000;153,543;790;835
1;81,000;155,501;790;835
2;81,000;155,286;790;835
3;81,000;155,262;790;835
4;81,000;154,438;790;835
5;81,000;152,122;790;834
6;81,000;152,457;789;834
0;82,000;152,421;769;813
1;82,000;152,612;769;813
2;82,000;152,110;769;813
3;82,000;152,325;769;813
4;82,000;152,063;769;813
5;82,000;152,707;769;813
6;82,000;152,839;769;814
0;83,000;155,298;790;835
1;83,000;154,975;790;835
2;83,000;151,919;790;834
3;83,000;151,967;790;834
4;83,000;154,367;789;834
5;83,000;155,334;789;834
6;83,000;155,322;789;834
0;84,000;154,020;790;834
1;84,000;152,266;790;834
2;84,000;152,206;790;834
3;84,000;155,143;789;834
4;84,000;155,250;789;834
5;84,000;155,346;789;834
6;84,000;153,877;789;833
0;85,000;154,152;789;834
1;85,000;155,477;789;834
2;85,000;155,262;789;834
3;85,000;155,250;789;834
4;85,000;153,304;789;833
5;85,000;152,051;789;833
6;85,000;152,803;788;833
0;86,000;155,322;789;834
1;86,000;155,513;789;834
2;86,000;155,143;789;833
3;86,000;152,278;789;833
4;86,000;151,800;789;833
5;86,000;153,352;788;833
6;86,000;155,346;788;833
0;88,000;155,286;789;834
1;88,000;154,438;789;833
2;88,000;151,872;789;833
3;88,000;152,003;788;833
4;88,000;154,820;788;833
5;88,000;155,310;788;833
6;88,000;155,298;788;833
0;89,000;155,202;789;834
1;89,000;152,564;789;833
2;89,000;151,836;789;833
3;89,000;153,579;788;833
4;89,000;155,250;788;833
5;89,000;155,310;788;833
6;89,000;154,844;788;832
0;90,000;154,271;788;833
1;90,000;155,441;788;833
2;90,000;155,250;788;833
3;90,000;155,238;788;833
4;90,000;152,552;788;832
5;90,000;151,931;788;832
6;90,000;153,030;787;832
0;91,000;155,310;788;833
1;91,000;155,453;788;833
2;91,000;152,874;788;832
3;91,000;151,872;788;832
4;91,000;152,624;787;832
5;91,000;155,310;787;832
6;91,000;155,298;787;832
0;92,000;154,056;788;832
1;92,000;152,087;788;832
2;92,000;152,110;788;832
3;92,000;155,047;787;832
4;92,000;155,250;787;832
5;92,000;155,310;787;832
6;92,000;153,233;787;831
0;94,000;152,122;788;832
1;94,000;155,023;787;832
2;94,000;155,250;787;832
3;94,000;155,250;787;832
4;94,000;153,734;787;831
5;94,000;151,943;787;831
6;94,000;152,182;786;831
0;95,000;155,465;769;814
1;95,000;155,334;769;814
2;95,000;155,262;769;814
3;95,000;155,250;769;814
4;95,000;155,274;769;814
5;95,000;155,477;769;814
6;95,000;155,572;769;814
0;96,000;155,298;787;832
1;96,000;155,346;787;831
