"FiberNumber=""PS-212983-1"""								
"OperatorName=""Иванов Иван Иванович"""								
DateTimeMeasurement=2021-12-13 16-28-51-2023								
X_MM	Fi	Diameter	UpPointY_PX	DownPointY_PX			Dср	157,626721
0	0	158,831	753	799				
1	0	158,724	753	799				
2	0	159,344	753	799			dсрз	158,277
3	0	159,13	754	799				
4	0	157,518	754	799			0,412543612	
5	0	155,883	754	799				
6	0	158,509	754	800				
0	1	159,094	752	798				
1	1	157,733	753	798				
2	1	156,193	753	798				
3	1	159,213	753	799				
4	1	159,142	753	799				
5	1	158,796	753	799				
6	1	158,7	753	799				
0	2	159,154	751	797				
1	2	157,184	752	797				
2	2	156,229	752	797				
3	2	159,476	752	798				
4	2	159,118	752	798				
5	2	158,76	752	798				
6	2	158,676	752	798				
0	3	159,106	752	798				
1	3	158,784	752	798				
2	3	158,258	753	798				
3	3	157,124	753	798				
4	3	158,27	753	799				
5	3	158,784	753	799				
6	3	158,7	753	799				
0	4	159,166	752	798				
1	4	157,387	753	798				
2	4	156,253	753	798				
3	4	159,094	753	799				
4	4	159,106	753	799				
5	4	158,748	753	799				
6	4	158,7	753	799				
0	5	157,208	753	799				
1	5	158,557	753	799				
2	5	159,416	753	799				
3	5	159,75	753	799				
4	5	158,855	753	799				
5	5	158,748	753	799				
6	5	156,336	754	799				
0	6	159,046	753	799				
1	6	158,76	753	799				
2	6	159,321	753	799				
3	6	159,166	753	799				
4	6	156,169	754	799				
5	6	156,945	754	800				
6	6	158,724	754	800				
0	7	159,237	753	799				
1	7	157,625	753	799				
2	7	156,444	754	800				
3	7	158,748	754	800				
4	7	159,046	754	800				
5	7	158,76	754	800				
6	7	158,7	754	800				
0	8	159,082	754	800				
1	8	158,772	754	800				
2	8	159,368	754	800				
3	8	159,703	754	800				
4	8	157,172	755	800				
5	8	155,668	755	800				
6	8	157,709	755	801				
0	9	159,345	754	800				
1	9	156,599	754	800				
2	9	156,802	755	801				
3	9	159,75	755	801				
4	9	158,951	755	801				
5	9	158,784	755	801				
6	9	158,7	755	801				
0	10	158,628	755	800				
1	10	157,697	754	800				
2	10	159,464	755	801				
3	10	159,846	755	801				
4	10	158,867	755	801				
5	10	158,772	755	801				
6	10	158,652	755	801				
0	11	158,461	756	801				
1	11	157,864	755	802				
2	11	159,5	756	802				
3	11	159,941	756	802				
4	11	158,891	756	802				
5	11	158,784	756	802				
6	11	158,7	756	802				
0	12	159,142	756	802				
1	12	158,795	756	802				
2	12	159,344	756	803				
3	12	159,726	756	802				
4	12	156,587	756	802				
5	12	155,763	757	802				
6	12	157,637	757	803				
0	13	159,213	756	802				
1	13	158,843	756	802				
2	13	159,309	756	803				
3	13	158,103	757	802				
4	13	155,918	757	802				
5	13	157,327	757	803				
6	13	158,748	757	803				
0	14	159,392	756	802				
1	14	156,993	756	802				
2	14	156,957	757	803				
3	14	159,679	757	803				
4	14	158,891	757	803				
5	14	158,796	757	803				
6	14	158,712	757	803				
0	15	159,345	757	803				
1	15	157,84	757	803				
2	15	156,837	758	804				
3	15	157,828	758	804				
4	15	158,592	758	804				
5	15	158,807	758	804				
6	15	158,736	758	804				
0	16	159,154	758	804				
1	16	158,819	757	804				
2	16	159,38	758	805				
3	16	159,726	758	804				
4	16	158,39	758	804				
5	16	155,99	759	804				
6	16	155,369	759	804				
0	17	159,309	758	804				
1	17	157,924	758	804				
2	17	156,861	759	805				
3	17	157,327	759	804				
4	17	158,318	759	805				
5	17	158,819	759	805				
6	17	158,748	759	805				
0	18	159,118	759	805				
1	18	158,807	758	805				
2	18	159,38	759	806				
3	18	159,714	759	805				
4	18	158,616	759	805				
5	18	157,434	760	805				
6	18	155,441	760	805				
0	19	159,297	759	805				
1	19	158,115	759	805				
2	19	156,814	760	806				
3	19	157,231	760	805				
4	19	157,554	760	806				
5	19	158,807	760	806				
6	19	158,748	760	806				
0	20	159,046	760	806				
1	20	158,795	759	806				
2	20	159,452	760	807				
3	20	159,691	760	806				
4	20	158,736	760	806				
5	20	158,879	760	806				
6	20	158,581	760	806				
0	21	157,613	761	806				
1	21	156,503	760	806				
2	21	156,694	761	808				
3	21	158,043	761	807				
4	21	158,76	761	807				
5	21	158,879	761	807				
6	21	158,712	761	807				
0	22	157,626	762	808				
1	22	158,246	761	808				
2	22	159,356	762	809				
3	22	159,607	762	808				
4	22	158,724	762	808				
5	22	158,903	762	808				
6	22	158,7	762	808				
0	23	158,497	762	808				
1	23	158,688	761	808				
2	23	159,356	762	809				
3	23	159,595	762	808				
4	23	158,7	762	808				
5	23	158,891	762	808				
6	23	158,7	762	808				
0	24	159,118	763	809				
1	24	158,784	762	809				
2	24	159,285	763	810				
3	24	159,547	763	809				
4	24	158,7	763	809				
5	24	158,772	763	809				
6	24	156,539	763	809				
0	25	159,106	763	809				
1	25	158,819	762	809				
2	25	159,225	763	810				
3	25	159,488	763	809				
4	25	158,7	763	809				
5	25	158,891	763	809				
6	25	158,294	763	809				
0	26	159,106	763	809				
1	26	158,795	763	809				
2	26	158,879	764	810				
3	26	157,649	764	809				
4	26	155,668	764	809				
5	26	155,751	764	809				
6	26	155,548	764	809				
0	27	156,133	764	809				
1	27	155,716	763	809				
2	27	156,432	764	810				
3	27	157,112	764	810				
4	27	157,243	764	810				
5	27	158,772	764	810				
6	27	158,724	764	810				
0	28	159,082	764	810				
1	28	158,831	763	810				
2	28	159,166	764	811				
3	28	159,428	764	810				
4	28	158,7	764	810				
5	28	159,022	764	810				
6	28	157,996	764	810				
0	29	159,07	765	811				
1	29	158,831	764	811				
2	29	159,142	765	812				
3	29	159,416	765	811				
4	29	158,7	765	811				
5	29	159,022	765	811				
6	29	158,652	765	811				
0	30	159,034	765	811				
1	30	158,772	765	811				
2	30	159,07	765	812				
3	30	159,297	765	811				
4	30	158,652	765	811				
5	30	156,933	766	811				
6	30	155,608	766	811				
0	31	155,835	766	811				
1	31	155,536	765	811				
2	31	156,432	766	812				
3	31	156,992	766	811				
4	31	155,513	766	811				
5	31	158,557	766	812				
6	31	158,736	766	812				
0	32	159,046	766	812				
1	32	158,807	766	812				
2	32	159,01	766	812				
3	32	159,464	766	812				
4	32	158,7	766	812				
5	32	159,046	766	812				
6	32	158,509	766	812				
0	33	156,492	767	813				
1	33	157,076	767	812				
2	33	158,282	767	813				
3	33	159,034	767	812				
4	33	158,604	767	813				
5	33	159,046	767	813				
6	33	158,736	767	813				
0	34	158,939	767	813				
1	34	158,748	767	813				
2	34	158,975	767	813				
3	34	159,392	767	813				
4	34	158,7	767	813				
5	34	159,106	767	813				
6	34	158,067	767	813				
0	35	158,879	768	814				
1	35	158,736	768	814				
2	35	158,927	768	814				
3	35	159,392	768	814				
4	35	158,7	768	814				
5	35	159,13	768	814				
6	35	158,664	768	814				
0	36	158,891	767	813				
1	36	158,688	767	813				
2	36	158,891	767	813				
3	36	158,39	768	813				
4	36	155,954	768	813				
5	36	156,014	768	813				
6	36	155,596	768	813				
0	37	155,68	769	814				
1	37	155,441	769	814				
2	37	156,193	769	815				
3	37	156,957	769	814				
4	37	155,25	769	814				
5	37	156,193	769	814				
6	37	156,169	769	814				
0	38	157,721	769	815				
1	38	158,163	769	815				
2	38	158,807	769	815				
3	38	159,333	769	815				
4	38	158,7	769	815				
5	38	159,118	769	815				
6	38	158,772	769	815				
0	39	155,847	770	815				
1	39	156,002	770	816				
2	39	156,647	770	816				
3	39	156,897	770	815				
4	39	155,369	770	815				
5	39	157,721	770	816				
6	39	158,616	770	816				
0	40	158,831	770	816				
1	40	158,7	770	816				
2	40	158,891	770	816				
3	40	159,225	770	816				
4	40	158,652	770	816				
5	40	157,327	771	816				
6	40	155,811	771	816				
0	41	155,668	771	816				
1	41	155,489	771	816				
2	41	156,157	771	816				
3	41	157,005	771	816				
4	41	155,25	771	816				
5	41	156,074	771	816				
6	41	155,584	771	816				
0	42	158,796	771	817				
1	42	158,7	771	817				
2	42	158,903	771	817				
3	42	159,249	771	817				
4	42	158,473	771	817				
5	42	156,993	772	817				
6	42	155,835	772	817				
0	43	155,763	772	817				
1	43	155,417	772	817				
2	43	156,121	772	817				
3	43	156,551	772	817				
4	43	155,274	772	817				
5	43	156,277	772	817				
6	43	155,871	772	817				
0	44	158,748	772	818				
1	44	158,7	772	818				
2	44	158,879	772	818				
3	44	159,225	772	818				
4	44	158,7	772	818				
5	44	159,237	772	818				
6	44	158,437	772	818				
0	45	155,513	773	818				
1	45	155,477	773	818				
2	45	156,133	773	818				
3	45	156,933	773	818				
4	45	155,322	773	818				
5	45	156,157	773	818				
6	45	155,644	773	818				
0	46	155,393	774	819				
1	46	155,453	774	819				
2	46	156,038	774	819				
3	46	156,778	774	819				
4	46	155,286	774	819				
5	46	156,145	774	819				
6	46	155,68	774	819				
0	47	155,346	774	819				
1	47	155,405	774	819				
2	47	155,978	774	819				
3	47	156,802	774	819				
4	47	155,322	774	819				
5	47	156,193	774	819				
6	47	155,704	774	819				
0	48	158,7	774	820				
1	48	158,604	774	820				
2	48	158,975	774	820				
3	48	159,177	774	820				
4	48	158,7	774	820				
5	48	159,285	774	820				
6	48	158,796	774	820				
0	49	157,912	775	820				
1	49	156,993	775	820				
2	49	157,16	774	820				
3	49	157,697	774	820				
4	49	156,157	775	820				
5	49	156,324	775	820				
6	49	155,847	775	820				
0	50	158,7	775	821				
1	50	158,7	775	821				
2	50	158,927	775	821				
3	50	159,333	775	821				
4	50	158,7	775	821				
5	50	159,321	775	821				
6	50	158,784	775	821				
0	51	158,64	775	821				
1	51	158,342	775	821				
2	51	158,807	775	821				
3	51	158,569	775	820				
4	51	157,339	775	820				
5	51	158,772	775	821				
6	51	158,652	775	821				
0	52	155,262	776	821				
1	52	155,346	776	821				
2	52	155,787	776	821				
3	52	156,659	776	821				
4	52	155,477	776	821				
5	52	156,312	776	821				
6	52	155,799	776	821				
0	53	158,7	776	822				
1	53	158,7	776	822				
2	53	158,939	776	822				
3	53	159,536	776	822				
4	53	158,7	776	822				
5	53	159,261	776	822				
6	53	158,784	776	822				
0	54	155,25	777	822				
1	54	155,357	777	822				
2	54	155,727	777	822				
3	54	156,706	777	822				
4	54	155,596	777	822				
5	54	156,324	777	822				
6	54	155,751	777	822				
0	55	158,7	777	823				
1	55	158,724	777	823				
2	55	158,963	777	823				
3	55	159,619	777	823				
4	55	158,712	777	823				
5	55	159,273	777	823				
6	55	158,819	777	823				
0	56	155,25	778	823				
1	56	155,322	778	823				
2	56	155,656	778	823				
3	56	156,802	778	823				
4	56	155,453	778	823				
5	56	156,396	778	823				
6	56	155,668	778	823				
0	57	155,25	778	823				
1	57	155,393	778	823				
2	57	155,704	778	823				
3	57	156,933	778	823				
4	57	155,429	778	823				
5	57	156,515	778	823				
6	57	155,656	778	823				
0	58	155,262	778	823				
1	58	155,441	778	823				
2	58	155,716	778	823				
3	58	156,981	778	823				
4	58	155,477	778	823				
5	58	156,492	778	823				
6	58	155,668	778	823				
0	59	155,25	779	824				
1	59	155,322	779	824				
2	59	155,811	779	824				
3	59	156,981	779	824				
4	59	155,787	779	824				
5	59	156,42	779	824				
6	59	155,93	779	824				
0	60	158,593	779	825				
1	60	158,378	779	825				
2	60	158,772	779	825				
3	60	158,963	779	825				
