X_MM;Fi;Brightness
500;17,000;0,080
501;17,000;0,081
502;17,000;0,081
503;17,000;0,080
504;17,000;0,080
505;17,000;0,078
506;17,000;0,076
500;18,000;0,080
501;18,000;0,081
502;18,000;0,081
503;18,000;0,081
504;18,000;0,080
505;18,000;0,079
506;18,000;0,077
500;19,000;0,081
501;19,000;0,082
502;19,000;0,081
503;19,000;0,081
504;19,000;0,081
505;19,000;0,079
506;19,000;0,077
500;20,000;0,081
501;20,000;0,082
502;20,000;0,082
503;20,000;0,082
504;20,000;0,081
505;20,000;0,080
506;20,000;0,078
500;21,000;0,082
501;21,000;0,083
502;21,000;0,083
503;21,000;0,082
504;21,000;0,082
505;21,000;0,080
506;21,000;0,079
500;22,000;0,082
501;22,000;0,083
502;22,000;0,083
503;22,000;0,083
504;22,000;0,082
505;22,000;0,081
506;22,000;0,079
500;23,000;0,082
501;23,000;0,083
502;23,000;0,083
503;23,000;0,083
504;23,000;0,083
505;23,000;0,081
506;23,000;0,079
500;24,000;0,083
501;24,000;0,084
502;24,000;0,084
503;24,000;0,084
504;24,000;0,084
505;24,000;0,082
506;24,000;0,080
500;25,000;0,084
501;25,000;0,085
502;25,000;0,085
503;25,000;0,085
504;25,000;0,084
505;25,000;0,083
506;25,000;0,081
500;26,000;0,084
501;26,000;0,086
502;26,000;0,086
503;26,000;0,085
504;26,000;0,085
505;26,000;0,083
506;26,000;0,082
500;27,000;0,085
501;27,000;0,086
502;27,000;0,086
503;27,000;0,086
504;27,000;0,086
505;27,000;0,084
506;27,000;0,082
500;28,000;0,085
501;28,000;0,087
502;28,000;0,087
503;28,000;0,087
504;28,000;0,086
505;28,000;0,084
506;28,000;0,083
500;29,000;0,086
501;29,000;0,087
502;29,000;0,087
503;29,000;0,087
504;29,000;0,087
505;29,000;0,085
506;29,000;0,083
500;30,000;0,086
501;30,000;0,088
502;30,000;0,088
503;30,000;0,088
504;30,000;0,087
505;30,000;0,085
506;30,000;0,084
500;31,000;0,087
501;31,000;0,088
502;31,000;0,088
503;31,000;0,088
504;31,000;0,087
505;31,000;0,086
506;31,000;0,084
500;32,000;0,087
501;32,000;0,089
502;32,000;0,089
503;32,000;0,088
504;32,000;0,088
505;32,000;0,086
506;32,000;0,085
500;33,000;0,088
501;33,000;0,089
502;33,000;0,089
503;33,000;0,089
504;33,000;0,088
505;33,000;0,087
506;33,000;0,085
500;34,000;0,088
501;34,000;0,090
502;34,000;0,090
503;34,000;0,089
504;34,000;0,089
505;34,000;0,087
506;34,000;0,086
500;35,000;0,089
501;35,000;0,090
502;35,000;0,090
503;35,000;0,090
504;35,000;0,089
505;35,000;0,088
506;35,000;0,086
500;36,000;0,089
501;36,000;0,090
502;36,000;0,090
503;36,000;0,090
504;36,000;0,089
505;36,000;0,088
506;36,000;0,086
500;37,000;0,089
501;37,000;0,091
502;37,000;0,091
503;37,000;0,091
504;37,000;0,090
505;37,000;0,088
506;37,000;0,087
500;38,000;0,090
501;38,000;0,091
502;38,000;0,091
503;38,000;0,091
504;38,000;0,090
505;38,000;0,089
506;38,000;0,087
500;39,000;0,090
501;39,000;0,091
502;39,000;0,092
503;39,000;0,091
504;39,000;0,091
505;39,000;0,089
506;39,000;0,088
500;40,000;0,090
501;40,000;0,092
502;40,000;0,092
503;40,000;0,092
504;40,000;0,091
505;40,000;0,090
506;40,000;0,088
500;41,000;0,091
501;41,000;0,092
502;41,000;0,092
503;41,000;0,092
504;41,000;0,092
505;41,000;0,090
506;41,000;0,089
500;42,000;0,091
501;42,000;0,093
502;42,000;0,093
503;42,000;0,093
504;42,000;0,092
505;42,000;0,090
506;42,000;0,089
500;43,000;0,092
501;43,000;0,093
502;43,000;0,093
503;43,000;0,093
